ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name syn)	Complex comment	Disease comment	SWISSPROT organism	Subunits comment	subunits(Gene name)	PubMed ID	subunits(Protein name)
890	PAR-3-PKCz-Tiam2 complex	Rat	None	brain	D3ZMS5;P09217;Q9Z340	100362710;25522;81918	MI:0019-coimmunoprecipitation	GO:0051211;GO:0022008;GO:0048699;GO:0009798;GO:0030182	anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	40.01.03;41.05.13;41.05.19;43.03.13	directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	None;Pkcz;Par3	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Tiam2;Prkcz;Pard3	15723051	T-cell lymphoma invasion and metastasis 2;Protein kinase C zeta type;Partitioning defective 3 homolog
891	Par3-Prkcz-Tiam1 complex	Rat	None	brain	D3ZWV8;P09217;Q9Z340	None;25522;81918	MI:0019-coimmunoprecipitation	GO:0051211;GO:0022008;GO:0048699;GO:0009798;GO:0030182	anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	40.01.03;41.05.13;41.05.19;43.03.13	directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	None;Pkcz;Par3	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Tiam1;Prkcz;Pard3	15723051	T-cell lymphoma invasion and metastasis 1;Protein kinase C zeta type;Partitioning defective 3 homolog
892	PAR-3-aPKC-Tiam2 complex	Rat	None	brain	D3ZMS5;F1M7Y5;Q9Z340	100362710;84006;81918	MI:0019-coimmunoprecipitation	GO:0051211;GO:0022008;GO:0048699;GO:0009798;GO:0030182	anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	40.01.03;41.05.13;41.05.19;43.03.13	directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	None;Pkcl;Par3	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Tiam2;Prkci;Pard3	15723051	T-cell lymphoma invasion and metastasis 2;Protein kinase C iota type;Partitioning defective 3 homolog
893	PAR-3-aPKC-Tiam1 complex	Rat	None	brain	D3ZWV8;F1M7Y5;Q9Z340	None;84006;81918	MI:0019-coimmunoprecipitation	GO:0051211;GO:0022008;GO:0048699;GO:0009798;GO:0030182	anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	40.01.03;41.05.13;41.05.19;43.03.13	directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	None;Pkcl;Par3	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Tiam1;Prkci;Pard3	15723051	T-cell lymphoma invasion and metastasis 1;Protein kinase C iota type;Partitioning defective 3 homolog
894	Tiam2-PAR-3-aPKC-PAR-6-Cdc42-GTP complex	Rat	None	COS-7 cells	D3ZMS5;P97701;Q6B4M5;Q8CFN2;Q9Z340	100362710;84006;307799;64465;81918	MI:0096-pull down	GO:0007264;GO:0051211;GO:0022008;GO:0048699;GO:0009798;GO:0030182	small GTPase mediated signal transduction;anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	30.01.05.05.01;40.01.03;41.05.13;41.05.19;43.03.13	small GTPase mediated signal transduction;directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	None;None;Par-6a Par6a;None;Par3	STEF-DeltaN (Tiam2) interacted with GST-Cdc42-GTPgammaS only in the presence of exogenous PAR-6-aPKC-PAR-3. However, the association of STEF-DeltaN with Cdc42 was not detected in the absence of PAR-3, indicating that STEF forms a complex with activated Cdc42 through the interaction with PAR-3. For pull down analyses immobilized beads were incubated with COS7 cell lysate expressing the indicated proteins.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Tiam2;Prkci;Pard6a;Cdc42;Pard3	15723051	T-cell lymphoma invasion and metastasis 2;Protein kinase C lambda;Partitioning defective 6 homolog alpha;Cell division control protein 42 homolog;Partitioning defective 3 homolog
895	hMediator complex (MED23, CDK8, CCNC, MED7)	Human	None	None	O43513;P24863;P49336;Q9ULK4	9443;892;1024;9439	MI:0071-molecular sieving;MI:0226-ion exchange chromatography;MI:0006-anti bait coimmunoprecipitation	GO:0045893;GO:0005515;GO:0005634	positive regulation of transcription, DNA-templated;protein binding;nucleus	11.02.03.04.01;16.01;70.10	transcription activation;protein binding;nucleus	ARC34, CRSP9, CRSP33;SRB11;SRB10, hSRB10;ARC130, CRSP3, DRIP130, KIAA1216, SUR2, hSUR2	The high-molecular-mass mammalian Mediator complexes have many subunits in common. However, their reported subunit compositions are not identical (PMID:10838567).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MED7;CCNC;CDK8;MED23	10353252	Mediator of RNA polymerase II transcription subunit 7;Cyclin-C;Cyclin-dependent kinase 8;Mediator of RNA polymerase II transcription subunit 23
896	hMediator complex (MED23, CDK8, CCNC)	Human	None	None	P24863;P49336;Q9ULK4	892;1024;9439	MI:0006-anti bait coimmunoprecipitation;MI:0071-molecular sieving	GO:0045893;GO:0005515;GO:0005634	positive regulation of transcription, DNA-templated;protein binding;nucleus	11.02.03.04.01;16.01;70.10	transcription activation;protein binding;nucleus	SRB11;SRB10, hSRB10;ARC130, CRSP3, DRIP130, KIAA1216, SUR2, hSUR2	The high-molecular-mass mammalian Mediator complexes have many subunits in common. However, their reported subunit compositions are not identical (PMID:10838567).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CCNC;CDK8;MED23	11416138	Cyclin-C;Cyclin-dependent kinase 8;Mediator of RNA polymerase II transcription subunit 23
897	CDK8-CyclinC-Mediator complex	Human	None	None	P24863;P49336	892;1024	MI:0006-anti bait coimmunoprecipitation;MI:0071-molecular sieving	GO:0045892;GO:0006468;GO:0006464;GO:0005634	negative regulation of transcription, DNA-templated;protein phosphorylation;cellular protein modification process;nucleus	11.02.03.04.03;14.07.03;14.07;70.10	transcription repression;modification by phosphorylation, dephosphorylation, autophosphorylation;protein modification;nucleus	SRB11;SRB10, hSRB10	It has been shown hat CDK8 phosphorylates the cyclin H subunit of TFIIH and inhibits its function in transcription (PMID:10993082). This explains, why the CDK8-CyclinC-Mediator complex inhibits basal and activated transcription.	None	Homo sapiens (Human);Homo sapiens (Human)	None	CCNC;CDK8	11416138	Cyclin-C;Cyclin-dependent kinase 8
898	Mediator complex 1	Human	High-molecular-mass Mediator complex 1; 2MDa Mediator complex 1	None	O60244;O75586;P24863;P49336;Q9ULK4	9282;10001;892;1024;9439	MI:0006-anti bait coimmunoprecipitation;MI:0071-molecular sieving	GO:0045893;GO:0005515;GO:0051090;GO:0005634	positive regulation of transcription, DNA-templated;protein binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus	11.02.03.04.01;16.01;18.02.09;70.10	transcription activation;protein binding;regulator of transcription factor;nucleus	ARC150, CRSP2, CXorf4, DRIP150, EXLM1, RGR1, TRAP170;ARC33;SRB11;SRB10, hSRB10;ARC130, CRSP3, DRIP130, KIAA1216, SUR2, hSUR2	Regulation of transcription by RNA polymerase II (Pol II) is controlled by specific combinations of sequence-specific, DNA binding regulatory transcription factors (TFs) bound to a gene's promoter and enhancer regions. These TFs interact with several multiprotein complexes that remodel the chromatin context of the promoter, integrate signals from multiple TFs to control the frequency of transcription initiation, and regulate the efficiency of transcription elongation. One such complex is the Mediator, an ~2-megadalton complex of 20 to 30 subunits that is believed to function as a molecular bridge by simultaneously interacting with both DNA-bound TFs and Pol II. Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MED14;MED6;CCNC;CDK8;MED23	11416138	Mediator of RNA polymerase II transcription subunit 14;Mediator of RNA polymerase II transcription subunit 6;Cyclin-C;Cyclin-dependent kinase 8;Mediator of RNA polymerase II transcription subunit 23
899	Par-3-KIF3A-PKC-zeta complex	Rat	None	brain	P09217;Q9WV62;Q9Z340	25522;84392;81918	MI:0006- anti bait coimmunoprecipitation	GO:0030705;GO:0051211;GO:0022008;GO:0048699;GO:0009798;GO:0030182	cytoskeleton-dependent intracellular transport;anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	20.09.14;40.01.03;41.05.13;41.05.19;43.03.13	cytoskeleton-dependent transport;directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	Pkcz;None;Par3	Coimmunoprecipitation done with anti-PAR-3 or with anti-KIF3A yielded the same results.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Prkcz;Kif3a;Pard3	15048131	Protein kinase C zeta type;Kinesin-like protein KIF3A;Partitioning defective 3 homolog
900	Mediator complex 2	Human	High-molecular-mass Mediator complex 2; 2MDa Mediator complex 2	None	O60244;O75586;Q9ULK4	9282;10001;9439	MI:0006-anti bait coimmunoprecipitation;MI:0071-molecular sieving	GO:0045893;GO:0005515;GO:0051090;GO:0005634	positive regulation of transcription, DNA-templated;protein binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus	11.02.03.04.01;16.01;18.02.09;70.10	transcription activation;protein binding;regulator of transcription factor;nucleus	ARC150, CRSP2, CXorf4, DRIP150, EXLM1, RGR1, TRAP170;ARC33;ARC130, CRSP3, DRIP130, KIAA1216, SUR2, hSUR2	Regulation of transcription by RNA polymerase II (Pol II) is controlled by specific combinations of sequence-specific, DNA binding regulatory transcription factors (TFs) bound to a gene's promoter and enhancer regions. These TFs interact with several multiprotein complexes that remodel the chromatin context of the promoter, integrate signals from multiple TFs to control the frequency of transcription initiation, and regulate the efficiency of transcription elongation. One such complex is the Mediator, an ~2-megadalton complex of 20 to 30 subunits that is believed to function as a molecular bridge by simultaneously interacting with both DNA-bound TFs and Pol II. Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MED14;MED6;MED23	11416138	Mediator of RNA polymerase II transcription subunit 14;Mediator of RNA polymerase II transcription subunit 6;Mediator of RNA polymerase II transcription subunit 23
901	Kif3a-Pard3-Prkci complex	Rat	None	brain	F1M7Y5;Q9WV62;Q9Z340	84006;84392;81918	MI:0006-anti bait coimmunoprecipitation	GO:0030705;GO:0051211;GO:0022008;GO:0048699;GO:0009798;GO:0030182	cytoskeleton-dependent intracellular transport;anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	20.09.14;40.01.03;41.05.13;41.05.19;43.03.13	cytoskeleton-dependent transport;directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	Pkcl;None;Par3	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Prkci;Kif3a;Pard3	15048131	Protein kinase C iota type;Kinesin-like protein KIF3A;Partitioning defective 3 homolog
902	SNARE complex (Stx5, Gosr1, GS15)	Rat	None	liver	O35152;Q08851;Q62931	54400;65134;94189	MI:0019-coimmunoprecipitation	GO:0006906;GO:0048489;GO:0016079;GO:0005794	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;Golgi apparatus	20.09.07.27;20.09.16.09.05;70.08	vesicle fusion;synaptic vesicle exocytosis;Golgi	Gs15;Stx5a;Gs28, Gos-28	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Bet1l;Stx5;Gosr1	12070132	BET1-like protein;Syntaxin-5;Golgi SNAP receptor complex member 1
903	RET-Rai complex	Human	None	None	P07949;Q92529	5979;53358	MI:0019- coimmunoprecipitation	GO:0007166	cell surface receptor signaling pathway	30.05	transmembrane signal transduction	CDHF12 CDHR16 PTC RET51;NSHC SHCC	RAI protein forms complexes with two variants of RET oncoprotein: MEN2A and PTC.	None	Homo sapiens (Human);Homo sapiens (Human)	None	RET;SHC3	15940252	Proto-oncogene tyrosine-protein kinase receptor Ret;SHC-transforming protein 3
904	SHC3-GAB1 complex	Human	None	None	Q13480;Q92529	2549;53358	MI:0019- coimmunoprecipitation	GO:0007166	cell surface receptor signaling pathway	30.05	transmembrane signal transduction	;NSHC SHCC	RAI protein forms complexes with two variants of RET oncoprotein: MEN2A and PTC.	None	Homo sapiens (Human);Homo sapiens (Human)	None	GAB1;SHC3	15940252	GRB2-associated-binding protein 1 ;SHC-transforming protein 3
905	KIF3A/B-PAR-3-aPKC-PAR-6 complex	Human	None	COS cells	O15066;P41743;Q8TEW0;Q9NPB6;Q9Y496	9371;5584;56288;50855;11127	MI:0007-anti tag coimmunoprecipitation	GO:0022008;GO:0048699;GO:0030182;GO:0030010	neurogenesis;generation of neurons;neuron differentiation;establishment of cell polarity	41.05.13;43.03.13	neurogenesis;neuron	KIAA0359;DXS1179E;PAR3, PAR3A;PAR6A, PAR6;KIF3	The results indicate that PAR-3 interacts with KIF3 in vivo and that aPKC associates with KIF3 through its interaction with PAR-3.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	KIF3B;PRKCI;PARD3;PARD6A;KIF3A	15048131	Kinesin-like protein KIF3B;Protein kinase C iota type;Partitioning defective 3 homolog;Partitioning defective 6 homolog alpha;Kinesin-like protein KIF3A
907	SNARE complex (Stx5, Gosr1, Bet1, Gef2)	Rat	None	liver	P60522;Q08851;Q62896;Q62931	64670;65134;29631;94189	MI:0019-coimmunoprecipitation	GO:0006906;GO:0048489;GO:0016079;GO:0005794	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;Golgi apparatus	20.09.07.27;20.09.16.09.05;70.08	vesicle fusion;synaptic vesicle exocytosis;Golgi	Gef2;Stx5a;None;Gs28, Gos-28	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.Following the MGI nomenclature GEF-2 and GATE-16 are identical.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Gabarapl2;Stx5;Bet1;Gosr1	12070132	Gamma-aminobutyric acid receptor-associated protein-like 2;Syntaxin-5;BET1 homolog;Golgi SNAP receptor complex member 1
908	PARD3-PARD6A-PRKCI complex	Dog	PAR-6-aPKC-PAR-3 complex	epithelium	F1PFK4;F1PG28;J9P3Q8	None;None;489756	MI:0019-coimmunoprecipitation	GO:0007043;GO:0030054;GO:0090162	cell-cell junction assembly;cell junction;establishment of epithelial cell polarity	42.06.04;70.06	intercellular junction (gap junction/adherens junction);cell junction	None;None;None	PAR-6 immunoprecipitates specifically contain endogenous aPKC-lambda, full-length PAR-3, and its splicing variant.	None	Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris)	None	PARD3;PRKCI;PARD6A	11257119	Par-3 family cell polarity regulator;Protein kinase C;Par-6 family cell polarity regulator alpha
909	ARC92-Mediator complex	Human	A-Med complex	None	O43513;O60244;O75586;O95402;P49336;Q15648;Q71SY5;Q93074;Q96RN5;Q9NVC6;Q9UHV7;Q9ULK4;Q9Y2X0	9443;9282;10001;9441;1024;5469;81857;9968;51586;9440;9969;9439;10025	MI:0006-anti bait coimmunoprecipitation	GO:0045893;GO:0005515;GO:0051090;GO:0005634	positive regulation of transcription, DNA-templated;protein binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus	11.02.03.04.01;16.01;18.02.09;70.10	transcription activation;protein binding;regulator of transcription factor;nucleus	ARC34, CRSP9, CRSP33;ARC150, CRSP2, CXorf4, DRIP150, EXLM1, RGR1, TRAP170;ARC33;ARC70, CRSP7;SRB10, hSRB10;ARC205, CRSP1, CRSP200, DRIP205, DRIP230, PBP, PPARBP, PPARGBP, RB18A, TRAP220, TRIP2;ACID1, ARC92, PTOV2;TRAP230, ARC240, CAGH45, HOPA, KIAA0192, TNRC11;ARC105, CTG7A, PCQAP, TIG1, TNRC7;ARC77, CRSP6, DRIP77, DRIP80, TRAP80;TRAP240, ARC250, KIAA0593, THRAP1;ARC130, CRSP3, DRIP130, KIAA1216, SUR2, hSUR2;DRIP92, THRAP5, TRAP95	Experiemts show that the transcription coactivator ARC is required for SREBP (sterol regulatory element binding protein) control of cholesterol and lipid homeostasis. Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MED7;MED14;MED6;MED26;CDK8;MED1;MED25;MED12;MED15;MED17;MED13;MED23;MED16	14657022	Mediator of RNA polymerase II transcription subunit 7;Mediator of RNA polymerase II transcription subunit 14;Mediator of RNA polymerase II transcription subunit 6;Mediator of RNA polymerase II transcription subunit 26;Cyclin-dependent kinase 8;Mediator of RNA polymerase II transcription subunit 1;Mediator of RNA polymerase II transcription subunit 25;Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 15;Mediator of RNA polymerase II transcription subunit 17;Mediator of RNA polymerase II transcription subunit 13;Mediator of RNA polymerase II transcription subunit 23;Mediator of RNA polymerase II transcription subunit 16
910	CRSP-Mediator 2 complex	Human	CRSP-Med 2 complex	None	O43513;O60244;O75448;O75586;Q96RN5;Q9BUE0;Q9NPJ6;Q9NVC6;Q9ULK4;Q9Y2X0	9443;9282;9862;10001;51586;54797;29079;9440;9439;10025	MI:0029-cosedimentation through density gradients;MI:0040-electron microscopy;MI:0004-affinity chromatography technologies	GO:0045893;GO:0005515;GO:0051090;GO:0005634	positive regulation of transcription, DNA-templated;protein binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus	11.02.03.04.01;16.01;18.02.09;70.10	transcription activation;protein binding;regulator of transcription factor;nucleus	ARC34, CRSP9, CRSP33;ARC150, CRSP2, CXorf4, DRIP150, EXLM1, RGR1, TRAP170;ARC100, CRSP4, DRIP100, KIAA0130, THRAP4, TRAP100;ARC33;ARC105, CTG7A, PCQAP, TIG1, TNRC7;None;ARC36 DRIP36 VDRIP;ARC77, CRSP6, DRIP77, DRIP80, TRAP80;ARC130, CRSP3, DRIP130, KIAA1216, SUR2, hSUR2;DRIP92, THRAP5, TRAP95	The CRSP-Med 2 complex is a promotor-selective coactivator. It cannot activate transcription from a VDR-responsive promoter, which needs coactivator recruitment by Med220. Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Two other subunits of the complex were found in the analysis, which have not been further characterized: p97 and p26.	MED7;MED14;MED24;MED6;MED15;MED18;MED4;MED17;MED23;MED16	15175162	Mediator of RNA polymerase II transcription subunit 7;Mediator of RNA polymerase II transcription subunit 14;Mediator of RNA polymerase II transcription subunit 24;Mediator of RNA polymerase II transcription subunit 6;Mediator of RNA polymerase II transcription subunit 15;Mediator of RNA polymerase II transcription subunit 18;Mediator of RNA polymerase II transcription subunit 4;Mediator of RNA polymerase II transcription subunit 17;Mediator of RNA polymerase II transcription subunit 23;Mediator of RNA polymerase II transcription subunit 16
911	Par3-Apc-Kif3a complex	Rat	None	brain	P70478;Q9WV62;Q9Z340	24205;84392;81918	MI:0006- anti bait coimmunoprecipitation	GO:0030705;GO:0051211;GO:0022008;GO:0048699;GO:0009798;GO:0030182	cytoskeleton-dependent intracellular transport;anisotropic cell growth;neurogenesis;generation of neurons;axis specification;neuron differentiation	20.09.14;40.01.03;41.05.13;41.05.19;43.03.13	cytoskeleton-dependent transport;directional cell growth (morphogenesis);neurogenesis;asymmetries and axis determination;neuron	None;None;Par3	The results suggest that mPar3 is polarized in developing neurons through APC- and kinesin-mediated transport to the plus ends of rapidly growing microtubules at the nascent axon tip, a process that involves a spatially regulated GSK-3beta activity.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Apc;Kif3a;Pard3	15556865	Adenomatous polyposis coli protein;Kinesin-like protein KIF3A;Partitioning defective 3 homolog
912	FGFR1-KAL11 complex	Human	None	eye	P11362;P23352	2260;3730	MI:0051-fluorescence technologies;MI:0030-cross-linking studies	GO:0040036	regulation of fibroblast growth factor receptor signaling pathway	None	None	BFGFR, CEK, FGFBR, FLG, FLT2, HBGFR;ADMLX,KAL,KAL1,KALIG1	None	Loss-of-function mutations of anosmin-1 and FGFR1 are associated with Kallmann syndrome (KS), underlying X-linked, and autosomal dominant/recessive inheritance mode, respectively  (PMID:19696444).	Homo sapiens (Human);Homo sapiens (Human)	Anosmin-1 directly binds to FGFR1 with high affinity. This interaction involves domains in the N terminus of anosmin-1 (cysteine-rich region, whey acidic protein-like domain and the first fibronectin type III domain) and the D2-D3 extracellular domains of FGFR1.	FGFR1;ANOS1	19696444	Fibroblast growth factor receptor 1;Anosmin-1
914	PALS1-PATJ-CRB3-PAR3-PAR6-aPKC-14-3-3 zeta complex	Dog	None	None	E2QY99;E2QYC9;F1PBL1;F1PFK4;F1PG28;J9P3Q8;Q8QZT4	490740;None;475864;None;None;489756;224912	MI:0096-pull down	GO:0051211;GO:0009798;GO:0007043;GO:0030054	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	40.01.03;41.05.19;42.06.04;70.06	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	None;None;None;None;None;None;None	The authors previously demonstrated that the PALS1/PATJ/CRB3 and Par3/Par6/aPKC complexes interact via PALS1-Par6 binding. Component Par6 was not shown in the pull down experiment. Immobilized CRB3 carboxy-terminal peptides were used for precipitation. The authors suggest that Par3 phosphorylation and subsequent 14-3-3 binding is a crucial mechanism that regulates the function of the Par3/Par6/aPKC complex.	None	Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris);Mus musculus (Mouse)	Since  CRB3 from dog were not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	MPP5;PATJ;YWHAZ;PARD3;PRKCI;PARD6A;Crb3	14653998	Membrane palmitoylated protein 5;PATJ, crumbs cell polarity complex component;Uncharacterized protein;Par-3 family cell polarity regulator;Protein kinase C;Par-6 family cell polarity regulator alpha;Protein crumbs homolog 3
915	SNARE complex (SNAP23, STX1A)	Human	None	None	O00161;Q16623	8773;6804	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0006906;GO:0048489;GO:0016079;GO:2001225	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;regulation of chloride transport	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	None;STX1	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.SNAP-23 physically associates with CFTR by binding to its amino-terminal tail, a region that modulates channel gating.	None	Homo sapiens (Human);Homo sapiens (Human)	None	SNAP23;STX1A	12209004	Synaptosomal-associated protein 23;Syntaxin-1A
916	MPP5-PARD3-PRKCI-YWHAZ complex	Dog	PALS1-Par3-aPKC-14-3-3 zeta complex	None	E2QY99;F1PBL1;F1PFK4;F1PG28	490740;475864;None;None	MI:0096-pull down	GO:0051211;GO:0009798;GO:0007043;GO:0030054	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	40.01.03;41.05.19;42.06.04;70.06	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	None;None;None;None	Immobilized GST-14-3-3 zeta was used for precipitation. The authors found that of the polarity proteins examined, Par3 was highly enriched after GST-14-3-3 zeta pulldown, suggesting that 14-3-3 zeta may directly associate with Par3.	None	Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris)	None	MPP5;YWHAZ;PARD3;PRKCI	14653998	Membrane palmitoylated protein 5;Uncharacterized protein;Par-3 family cell polarity regulator;Protein kinase C
917	CERF complex (CECR2-containing remodeling factor complex)	Human	None	None	P28370;Q9BXF3	6594;27443	MI:0071- molecular sieving; MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:0022008;GO:0048699;GO:0051276;GO:0005634	DNA topological change;neurogenesis;generation of neurons;chromosome organization;nucleus	10.01.09.05;41.05.13;42.10.03;70.10	DNA conformation modification (e.g. chromatin);neurogenesis;organization of chromosome structure;nucleus	SNF2L SNF2L1;KIAA1740	CERF displays an ATP hydrolyzing activity that is stimulated by nucleosomes. CERF plays a critical role in neurolation.	None	Homo sapiens (Human);Homo sapiens (Human)	None	SMARCA1;CECR2	15640247	Probable global transcription activator SNF2L1 ;Cat eye syndrome critical region protein 2
918	PAR3-PAR6-PALS1 complex	Human	None	None	Q8N3R9;Q8TEW0;Q9NPB6	64398;56288;50855	MI:0007- anti tag coimmunoprecipitation	GO:0051211;GO:0009798;GO:0007043;GO:0030054	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	40.01.03;41.05.19;42.06.04;70.06	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	None;PAR3, PAR3A;PAR6A, PAR6	HEK 293 cells transiently expressed with Mys-PALS1 and HA-Par6 or HA-Par3 showed that Par6, but not Par3, coimmunoprecipitated with PALS1. However, when all three proteins were expressed together, the authors detected a complex of PALS1 with both Par6 and Par3.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MPP5;PARD3;PARD6A	12545177	MAGUK p55 subfamily member 5;Partitioning defective 3 homolog;Partitioning defective 6 homolog alpha
920	PAR3-PATJ-PALS1 complex	Dog	PAR3-PATJ-MPP5 complex	MDCK cells	E2QY99;E2QYC9;F1PFK4	490740;None;None	MI:0007-anti tag coimmunoprecipitation	GO:0051211;GO:0009798;GO:0007043;GO:0005886;GO:0030054	anisotropic cell growth;axis specification;cell-cell junction assembly;plasma membrane;cell junction	40.01.03;41.05.19;42.06.04;70.02;70.06	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);eukaryotic plasma membrane / membrane attached;cell junction	None;None;None	The authors found that endogenous Par3 and PATJ were both coimmunoprecipitated with Myc-PALS1. Collectively, these data indicate that the Crb-PALS1-PATJ and Par3-Par6-aPKC complexes can associate with one another through a PALS1-Par6 interaction.	None	Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris);Canis lupus familiaris (Dog) (Canis familiaris)	None	MPP5;PATJ;PARD3	12545177	Membrane palmitoylated protein 5;PATJ, crumbs cell polarity complex component;Par-3 family cell polarity regulator
